,Last_Update,Confirmed,Deaths,Recovered,Active
235,2020-04-14 23:33:12,14152.0,416.0,7633.0,6209.0
233,2020-04-15 22:56:32,14239.0,437.0,8098.0,5845.0
598,2020-04-16 23:30:31,14389.0,450.0,8986.0,5080.0
602,2020-04-17 23:30:32,14518.0,466.0,9704.0,4460.0
299,2020-04-18 22:32:28,14629.0,489.0,10214.0,4014.0
300,2020-04-19 23:40:41,14729.0,502.0,10501.0,3796.0
175,2020-04-20 23:36:27,14789.0,520.0,10631.0,3694.0
173,2020-04-21 23:30:30,14836.0,537.0,10971.0,3411.0
678,2020-04-22 23:30:32,14904.0,546.0,11328.0,3087.0
680,2020-04-24 03:30:31,14974.0,564.0,11694.0,2786.0
1095,2020-04-25 06:30:33,15047.0,576.0,11872.0,2669.0
1093,2020-04-26 02:30:31,15107.0,584.0,12103.0,2509.0
339,2020-04-27 02:30:33,15186.0,592.0,12282.0,2401.0
341,2020-04-28 02:30:32,15248.0,606.0,12362.0,2363.0
629,2020-04-29 02:32:29,15283.0,615.0,12580.0,2208.0
630,2020-04-30 02:32:27,15353.0,621.0,12779.0,2043.0
477,2020-05-01 02:32:28,15402.0,635.0,12907.0,1961.0
114,2020-05-02 02:32:27,15463.0,642.0,13110.0,1832.0
755,2020-05-03 02:32:28,15517.0,649.0,13180.0,1782.0
753,2020-05-04 02:32:28,15554.0,653.0,13228.0,1771.0
873,2020-05-05 02:32:34,15582.0,657.0,13316.0,1705.0
875,2020-05-06 02:32:31,15594.0,666.0,13462.0,1582.0
536,2020-05-07 02:32:28,15624.0,670.0,13639.0,1437.0
534,2020-05-08 02:32:32,15678.0,673.0,13698.0,1445.0
814,2020-05-09 02:32:35,15724.0,680.0,13836.0,1324.0
811,2020-05-10 02:32:30,15763.0,683.0,13928.0,1290.0
420,2020-05-11 02:32:30,15812.0,688.0,13991.0,1262.0
422,2020-05-12 03:32:27,15842.0,695.0,14061.0,1201.0
1033,2020-05-13 03:32:26,15857.0,698.0,14148.0,1190.0
1031,2020-05-14 03:32:28,15923.0,701.0,14304.0,1069.0
624,2020-05-15 02:33:02,15961.0,702.0,14405.0,1027.0
626,2020-05-16 02:32:19,16013.0,705.0,14471.0,1010.0
265,2020-05-17 02:32:32,16067.0,709.0,14524.0,1048.0
261,2020-05-18 02:32:21,16148.0,709.0,14563.0,1050.0
1075,2020-05-19 02:32:18,16163.0,710.0,14614.0,1026.0
1074,2020-05-20 02:32:19,16189.0,712.0,14678.0,1011.0
651,2020-05-21 02:32:48,16247.0,716.0,14882.0,838.0
653,2020-05-22 02:36:51,16308.0,717.0,14951.0,820.0
145,2020-05-23 02:32:42,16338.0,721.0,15005.0,796.0
143,2020-05-24 02:32:43,16369.0,724.0,15037.0,810.0
284,2020-05-25 02:32:44,16397.0,728.0,15063.0,800.0
286,2020-05-26 02:32:35,16421.0,729.0,15138.0,760.0
1044,2020-05-27 02:32:31,16452.0,730.0,15182.0,732.0
1042,2020-05-28 02:32:31,16477.0,732.0,15228.0,718.0
227,2020-05-29 02:32:50,16499.0,736.0,15286.0,674.0
226,2020-05-30 02:32:48,16549.0,737.0,15347.0,640.0
922,2020-05-31 02:32:45,16568.0,739.0,15520.0,497.0
923,2020-06-01 02:32:46,16610.0,741.0,15593.0,470.0
461,2020-06-02 02:33:08,16642.0,741.0,15596.0,469.0
921,2020-06-03 02:33:13,16647.0,745.0,15629.0,461.0
919,2020-06-04 02:33:14,16666.0,746.0,15672.0,429.0
786,2020-06-05 02:33:06,16682.0,749.0,15717.0,418.0
788,2020-06-06 02:33:00,16735.0,752.0,15742.0,429.0
19,2020-06-07 03:53:30,16752.0,756.0,15789.0,437.0
18,2020-06-08 03:33:22,16819.0,758.0,15793.0,437.0
843,2020-06-09 03:33:03,16850.0,759.0,15839.0,457.0
840,2020-06-10 04:07:00,16875.0,760.0,15875.0,432.0
153,2020-06-11 03:33:41,16899.0,763.0,15910.0,422.0
155,2020-06-12 05:09:52,16914.0,765.0,15949.0,411.0
646,2020-06-13 03:33:14,16948.0,767.0,15985.0,404.0
644,2020-06-14 03:33:15,16970.0,768.0,16012.0,389.0
1035,2020-06-15 03:33:14,17007.0,770.0,16059.0,373.0
1037,2020-06-16 04:33:09,17029.0,771.0,16066.0,391.0
292,2020-06-17 04:33:21,17047.0,776.0,16089.0,419.0
290,2020-06-18 04:33:18,17100.0,782.0,16099.0,417.0
584,2020-06-19 04:33:17,17119.0,785.0,16101.0,434.0
583,2020-06-20 04:33:19,17150.0,786.0,16141.0,442.0
1026,2020-06-21 04:33:19,17182.0,786.0,16175.0,460.0
1028,2020-06-22 04:33:20,17234.0,788.0,16197.0,454.0
429,2020-06-23 04:33:22,17266.0,791.0,16241.0,449.0
428,2020-06-24 04:33:28,17295.0,793.0,16261.0,454.0
270,2020-06-25 05:26:54,17326.0,796.0,16282.0,474.0
272,2020-06-26 04:33:43,17369.0,798.0,16320.0,459.0
619,2020-06-27 04:33:35,17404.0,802.0,16348.0,476.0
617,2020-06-28 04:34:04,17448.0,804.0,16371.0,509.0
327,2020-06-29 04:33:44,17522.0,805.0,16401.0,551.0
324,2020-06-30 04:33:48,17567.0,808.0,16420.0,600.0
749,2020-07-01 04:33:52,17629.0,810.0,16478.0,583.0
938,2020-07-02 04:33:46,17678.0,811.0,16491.0,677.0
483,2020-07-03 04:33:54,17779.0,811.0,16514.0,722.0
485,2020-07-04 04:33:51,17874.0,812.0,16558.0,787.0
61,2020-07-05 04:33:46,17954.0,815.0,16607.0,853.0
59,2020-07-06 04:33:57,18088.0,816.0,16615.0,959.0
822,2020-07-07 04:34:00,18194.0,819.0,16647.0,1012.0
824,2020-07-08 05:33:48,18270.0,819.0,16686.0,1029.0
542,2020-07-09 04:34:23,18338.0,820.0,16721.0,1086.0
545,2020-07-10 04:34:24,18429.0,820.0,16758.0,1151.0
673,2020-07-11 04:34:26,18547.0,820.0,16808.0,1195.0
671,2020-07-12 04:34:30,18619.0,821.0,16864.0,1213.0
